,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
2365,2366,334094,6,6,0,1,4,3,1,1,2,7,5,3,4,3,2,2,10,0,0,0,1,11,10,0,0,2,0,12,6,6,2,5,5,1,No
2366,2367,334096,10,5,0,2,2,2,2,4,3,6,9,8,1,6,0,9,6,3,1,2,6,3,7,0,0,8,15,0,11,4,1,5,9,2,No
2367,2368,334097,17,3,0,5,2,2,7,4,0,3,17,12,3,4,1,8,12,5,6,5,4,0,14,6,0,0,20,0,15,5,0,7,13,0,No
2368,2369,334098,12,6,0,2,1,5,2,3,5,8,10,8,1,7,2,18,0,4,4,0,3,7,4,6,0,8,18,0,16,2,3,4,11,2,No
2369,2370,334099,18,1,0,5,4,3,5,1,1,1,18,11,1,5,2,5,14,3,2,3,7,4,7,0,0,12,0,19,16,3,0,14,5,1,No
2370,2371,334101,11,9,1,2,6,2,4,4,1,11,9,7,3,3,7,20,0,0,1,3,6,10,16,4,0,0,20,0,17,3,1,12,7,2,No
2371,2372,334103,13,6,1,3,2,3,4,2,4,7,12,14,2,2,1,19,0,8,7,3,1,0,16,2,0,1,19,0,16,3,3,1,15,0,No
2372,2373,334105,16,9,0,6,6,4,1,4,4,11,14,9,4,11,1,23,2,0,6,6,11,2,6,7,0,12,25,0,21,4,5,3,17,2,No
2373,2374,334106,16,9,1,4,6,5,2,5,2,5,20,19,2,4,0,20,5,4,13,7,1,0,20,0,0,5,25,0,13,12,2,6,17,0,No
2374,2375,334107,4,8,0,5,3,0,1,3,0,10,2,6,4,2,0,12,0,3,5,2,2,0,2,0,5,5,12,0,10,2,1,5,6,0,No
2375,2376,334110,8,5,0,0,5,1,3,1,3,6,7,0,0,8,5,5,8,0,0,0,2,11,3,1,0,9,0,13,13,0,1,4,8,5,No
2376,2377,334114,7,13,3,4,2,3,5,2,1,10,10,7,4,7,2,18,2,0,10,5,5,0,14,6,0,0,20,0,9,11,3,5,12,1,No
2377,2378,334115,12,5,1,0,4,4,4,2,2,5,12,3,4,10,0,17,0,7,6,3,1,0,11,4,0,2,17,0,15,2,1,2,14,0,No
2378,2379,334120,12,11,3,2,4,4,3,2,5,10,13,15,0,6,2,22,1,9,10,1,3,0,13,9,1,0,23,0,16,7,2,5,16,3,No
2379,2380,334121,11,11,0,2,6,3,6,1,4,12,10,14,2,5,1,21,1,6,8,3,4,1,18,3,0,1,22,0,13,9,2,10,10,2,No
2380,2381,334122,7,10,0,0,2,5,3,6,1,11,6,2,1,9,5,16,1,0,0,0,4,13,13,1,0,3,0,17,16,1,1,12,4,0,No
2381,2382,334125,17,5,0,6,2,6,4,2,2,5,17,13,5,4,0,15,7,3,6,8,5,0,4,3,0,15,22,0,11,11,0,7,15,2,No
2382,2383,334126,14,4,0,4,6,2,2,3,1,8,10,10,2,6,0,14,4,0,2,8,6,2,4,13,0,1,18,0,11,7,2,6,10,0,No
2383,2384,334127,11,6,0,3,2,3,4,3,2,11,6,14,3,0,0,13,4,3,8,5,1,0,16,0,0,1,17,0,12,5,0,2,15,0,No
2384,2385,334130,13,7,0,3,6,1,3,4,3,11,9,4,0,8,8,18,2,0,0,0,3,17,4,14,0,2,0,20,17,3,6,5,9,2,No
2385,2386,334131,6,12,2,3,3,5,4,1,0,12,6,11,2,5,0,18,0,3,8,7,0,0,14,3,1,0,18,0,14,4,2,9,7,1,No
2386,2387,334132,7,6,0,2,7,0,3,0,1,7,6,6,1,4,2,9,4,1,2,5,4,1,11,1,0,1,13,0,6,7,1,4,8,1,No
2387,2388,334134,23,6,0,6,8,6,4,3,2,4,25,16,2,8,3,26,3,12,6,2,4,5,15,12,1,1,29,0,21,8,3,11,15,6,No
2388,2389,334137,8,8,0,1,0,4,4,5,2,9,7,2,0,7,7,12,4,0,0,1,4,11,9,0,0,7,0,16,14,2,0,8,8,1,No
2389,2390,334138,17,2,0,6,6,1,2,0,4,2,17,7,0,9,3,19,0,6,5,6,2,0,18,0,0,1,0,19,12,7,1,10,8,0,No
2390,2391,334143,30,1,0,6,6,8,5,3,3,0,31,24,2,4,1,21,10,1,4,9,16,1,14,4,0,13,31,0,12,19,4,13,14,6,Yes
2391,2392,334144,12,5,4,3,2,1,5,0,2,3,14,8,4,4,1,17,0,12,2,3,0,0,5,8,0,4,17,0,11,6,3,6,8,0,No
2392,2393,334145,15,3,0,2,2,4,5,2,3,5,13,12,1,3,2,18,0,4,3,5,4,2,10,1,0,7,18,0,15,3,0,5,13,0,No
2393,2394,334148,11,0,0,2,3,2,2,2,0,4,7,7,4,0,0,8,3,4,3,4,0,0,11,0,0,0,11,0,9,2,2,2,7,0,No
2394,2395,334149,14,3,0,2,7,1,4,1,2,3,14,9,3,4,1,15,2,2,7,4,3,1,15,0,0,2,17,0,14,3,1,6,10,1,No
2395,2396,334150,10,4,0,0,5,3,2,2,2,4,10,6,2,3,3,12,2,0,3,4,5,2,3,4,0,7,14,0,11,3,0,7,7,0,No
2396,2397,334151,19,5,0,2,4,6,5,4,3,5,19,14,1,7,2,20,4,4,11,6,3,0,21,2,0,1,24,0,12,12,1,5,18,0,No
2397,2398,334153,15,3,0,3,4,3,4,3,1,3,15,2,3,9,4,11,7,1,1,0,6,10,6,6,0,6,0,18,17,1,1,5,12,4,No
2398,2399,334154,15,5,0,1,6,7,2,2,2,8,12,14,4,2,0,0,20,2,2,6,6,4,13,0,0,7,0,20,12,8,1,4,15,0,No
2399,2400,334156,9,12,1,0,3,5,9,3,0,13,8,2,0,4,15,19,2,0,0,0,1,20,7,1,2,11,0,21,14,7,3,13,5,2,Yes
2400,2401,334157,18,4,0,5,2,1,3,5,6,2,20,17,1,4,0,22,0,6,5,7,4,0,7,15,0,0,22,0,5,17,2,6,14,1,No
2401,2402,334158,15,6,0,4,3,4,5,4,1,9,12,10,3,6,2,7,14,0,0,1,8,12,9,0,0,12,0,21,19,2,3,9,9,0,No
2402,2403,334161,11,6,0,6,3,3,3,2,0,7,10,10,1,6,0,6,11,0,6,6,5,0,17,0,0,0,17,0,10,7,1,6,10,1,No
2403,2404,334163,22,3,0,3,6,4,5,5,2,2,23,14,3,8,0,23,2,4,7,4,6,4,8,9,1,7,25,0,19,6,1,8,16,2,No
2404,2405,334167,9,11,1,2,6,4,3,3,1,14,6,6,1,11,2,17,3,0,0,0,6,14,10,0,0,10,0,20,16,4,3,7,10,0,No
2405,2406,334168,18,2,1,5,4,0,2,2,6,8,12,9,3,7,1,20,0,1,2,1,14,2,9,5,0,6,20,0,15,5,2,7,11,0,No
2406,2407,334169,10,7,1,1,3,4,4,2,2,10,7,8,7,2,0,13,4,2,6,5,4,0,13,1,0,3,0,17,12,5,2,1,14,0,No
2407,2408,334174,14,5,0,2,4,5,2,4,2,5,14,14,3,1,1,19,0,6,8,3,1,1,11,8,0,0,19,0,19,0,0,6,13,0,No
2408,2409,334175,15,19,0,5,9,6,7,3,4,16,18,6,3,16,9,31,3,0,0,1,11,22,27,1,0,6,0,34,3,31,3,22,9,2,Yes
